Trial,Time_s,Predicted_RY_Moment
2,4.33,-0.707415044307709
2,4.34,-0.654072105884552
2,4.35,-0.611494183540344
2,4.36,-0.581885874271393
2,4.37,-0.548003852367401
2,4.38,-0.509535133838654
2,4.39,-0.462985932826996
2,4.4,-0.414776027202606
2,4.41,-0.379884153604507
2,4.42,-0.34825387597084
2,4.43,-0.313484400510788
2,4.44,-0.274709850549698
2,4.45,-0.231197088956833
2,4.46,-0.18814554810524
2,4.47,-0.150763228535652
2,4.48,-0.120744735002518
2,4.49,-0.0947260931134224
2,4.5,-0.0687139928340912
2,4.51,-0.0466195717453957
2,4.52,-0.0312299691140652
2,4.53,-0.0200992487370968
2,4.54,-0.0115856053307652
2,4.55,-0.00627597374841571
2,4.56,-0.00385039253160357
2,4.57,-0.00214345683343709
2,4.58,0.000477972935186699
2,4.59,0.00246432679705322
2,4.6,0.00349904038012028
2,4.61,0.00500963162630796
2,4.62,0.00773742236196995
2,4.63,0.0112069938331842
2,4.64,0.0151251079514623
2,4.65,0.016752177849412
2,4.66,0.0166926216334105
2,4.67,0.015893841162324
2,4.68,0.0146185364574194
2,4.69,0.0130228484049439
2,4.7,0.0112704439088702
2,4.71,0.00983636081218719
2,4.72,0.00891125295311213
2,4.73,0.00788081530481577
2,4.74,0.00620652129873633
2,4.75,0.00426674354821444
2,4.76,0.0022709215991199
2,4.77,0.000217643362702802
2,4.78,-0.000801799411419779
2,4.79,-0.000628933601547033
2,4.8,0.000589106406550854
2,4.81,0.00337187247350812
2,4.82,0.00811900291591883
2,4.83,0.0140456892549992
2,4.84,0.019382655620575
2,4.85,0.0223220996558666
2,4.86,0.0221181958913803
2,4.87,0.0196817349642515
2,4.88,0.0166375320404768
2,4.89,0.0144757544621825
2,4.9,0.0139380302280188
2,4.91,0.0147323422133923
2,4.92,0.0161553174257278
2,4.93,0.0178708434104919
2,4.94,0.0196752827614546
2,4.95,0.0209141671657562
2,4.96,0.020223543047905
2,4.97,0.0185717735439539
2,4.98,0.0224171224981546
2,4.99,0.0280488543212414
2,5,0.0323160961270332
2,5.01,0.0398881807923317
2,5.02,0.0633969455957413
2,5.03,0.0899965241551399
2,5.04,0.0829889699816704
2,5.05,0.0530078113079071
2,5.06,0.0245106406509876
2,5.07,-0.00881929323077202
2,5.08,-0.0465976968407631
2,5.09,-0.0805392637848854
2,5.1,-0.106737390160561
2,5.11,-0.128994971513748
2,5.12,-0.151369675993919
2,5.13,-0.174226179718971
2,5.14,-0.205677077174187
2,5.15,-0.240561410784721
2,5.16,-0.276362270116806
2,5.17,-0.311562478542328
2,5.18,-0.341776639223099
2,5.19,-0.36860790848732
2,5.2,-0.396611899137497
2,5.21,-0.423323422670364
2,5.22,-0.446981877088547
2,5.23,-0.468607902526855
2,5.24,-0.485164195299149
2,5.25,-0.499677151441574
2,5.26,-0.516022145748138
2,5.27,-0.529466211795807
2,5.28,-0.530291140079498
2,5.29,-0.523316204547882
2,5.3,-0.51668518781662
2,5.31,-0.510613322257996
2,5.32,-0.498832106590271
2,5.33,-0.47463995218277
2,5.34,-0.440312653779984
2,5.35,-0.403119504451752
2,5.36,-0.361519187688828
2,5.37,-0.319133579730988
2,5.38,-0.28837975859642
2,5.39,-0.277152210474014
2,5.4,-0.284214943647385
2,5.41,-0.305816411972046
2,5.42,-0.332670032978058
2,5.43,-0.354716181755066
2,5.44,-0.370035976171494
2,5.45,-0.379435956478119
2,5.46,-0.384239852428436
2,5.47,-0.386218547821045
2,5.48,-0.387127995491028
