Trial,Time_s,Predicted_LY_Moment
1,8.94,-0.520121157169342
1,8.95,-0.520760238170624
1,8.96,-0.520677804946899
1,8.97,-0.52016544342041
1,8.98,-0.519347727298737
1,8.99,-0.518198549747467
1,9,-0.516671538352966
1,9.01,-0.514795482158661
1,9.02,-0.512620151042938
1,9.03,-0.510113060474396
1,9.04,-0.507144272327423
1,9.05,-0.503541827201843
1,9.06,-0.499142944812775
1,9.07,-0.493849992752075
1,9.08,-0.487681120634079
1,9.09,-0.480768889188766
1,9.1,-0.473286420106888
1,9.11,-0.465352445840836
1,9.12,-0.456962764263153
1,9.13,-0.447952508926392
1,9.14,-0.438080608844757
1,9.15,-0.427246809005737
1,9.16,-0.415638148784637
1,9.17,-0.40370586514473
1,9.18,-0.392010539770126
1,9.19,-0.381001681089401
1,9.2,-0.370860695838928
1,9.21,-0.361525803804398
1,9.22,-0.35286757349968
1,9.23,-0.344920665025711
1,9.24,-0.337965071201324
1,9.25,-0.332292288541794
1,9.26,-0.327977448701859
1,9.27,-0.32491734623909
1,9.28,-0.323204040527344
1,9.29,-0.323443859815598
1,9.3,-0.321346879005432
1,9.31,-0.30905693769455
1,9.32,-0.310226738452911
1,9.33,-0.312360525131226
1,9.34,-0.313820540904999
1,9.35,-0.316093444824219
1,9.36,-0.320689409971237
1,9.37,-0.327890813350677
1,9.38,-0.336530387401581
1,9.39,-0.344626307487488
1,9.4,-0.350340962409973
1,9.41,-0.352380245923996
1,9.42,-0.34939032793045
1,9.43,-0.33982989192009
1,9.44,-0.32415309548378
1,9.45,-0.306162178516388
1,9.46,-0.290245592594147
1,9.47,-0.278980702161789
1,9.48,-0.273174047470093
1,9.49,-0.272084832191467
1,9.5,-0.273781985044479
1,9.51,-0.275624752044678
1,9.52,-0.274142533540726
1,9.53,-0.264887630939484
1,9.54,-0.243257537484169
1,9.55,-0.206946581602097
1,9.56,-0.160895481705666
1,9.57,-0.118566431105137
1,9.58,-0.0885091349482536
1,9.59,-0.0685673132538795
1,9.6,-0.0550254806876183
1,9.61,-0.0450867228209972
1,9.62,-0.0369025804102421
1,9.63,-0.0299261063337326
1,9.64,-0.0242542400956154
1,9.65,-0.0198108125478029
1,9.66,-0.0163204446434975
1,9.67,-0.0135656204074621
1,9.68,-0.0113133974373341
1,9.69,-0.00926808081567287
1,9.7,-0.0072671421803534
1,9.71,-0.00532933557406068
1,9.72,-0.00352989346720278
1,9.73,-0.00189402198884636
1,9.74,-0.000414231501054019
1,9.75,0.000816217216197401
1,9.76,0.00157273630611598
1,9.77,0.00169123604428023
1,9.78,0.00119719828944653
1,9.79,0.000241122572333552
1,9.8,-0.000987384584732354
1,9.81,-0.00231494195759296
1,9.82,-0.00365296960808337
1,9.83,-0.00505679985508323
1,9.84,-0.0066571356728673
1,9.85,-0.0085040396079421
1,9.86,-0.0104792192578316
1,9.87,-0.0123149594292045
1,9.88,-0.013692787848413
1,9.89,-0.0143872834742069
1,9.9,-0.0143907498568296
1,9.91,-0.0138959493488073
1,9.92,-0.013106876052916
1,9.93,-0.0120936995372176
1,9.94,-0.0110482815653086
1,9.95,-0.0111577669158578
1,9.96,-0.0138933146372437
1,9.97,-0.0176321230828762
1,9.98,-0.0201155561953783
1,9.99,-0.020723482593894
1,10,-0.01983324252069
1,10.01,-0.0180540829896927
1,10.02,-0.0158111862838268
1,10.03,-0.0133508089929819
1,10.04,-0.0108934482559562
1,10.05,-0.00864725839346647
1,10.06,-0.00663751270622015
1,10.07,-0.0045053493231535
1,10.08,-0.00164998474065214
1,10.09,0.00194293528329581
1,10.1,0.00528894038870931
1,10.11,0.00732243433594704
1,10.12,0.00774345826357603
1,10.13,0.00703422818332911
